Gene_ID	Exemplar_gene	Exemplar_species	Gene_database	Record_ID	Database_URL	In_tree
5220	ATPeAF1	Salvia splendens	UniProtKB	A0A4D9ASE3	https://www.uniprot.org/uniprot/A0A4D9ASE3	Y
5257	SDO1	Salvia splendens	UniProtKB	A0A4D8YQB2	https://www.uniprot.org/uniprot/A0A4D8YQB2	Y
5260	fcf2_2	Anthurium amnicola	UniProtKB	A0A1D1Y335	https://www.uniprot.org/uniprot/A0A1D1Y335	Y
5264	CYP65	Nicotiana attenuata	UniProtKB	A0A314KW12	https://www.uniprot.org/uniprot/A0A314KW12	Y
5271	PDF1B_0	Anthurium amnicola	UniProtKB	A0A1D1Z4R8	https://www.uniprot.org/uniprot/A0A1D1Z4R8	Y
5273	EIF2D_0	Anthurium amnicola	UniProtKB	A0A1D1XK90	https://www.uniprot.org/uniprot/A0A1D1XK90	Y
5280	PIGA_0	Zea mays	UniProtKB	A0A3L6FX19	https://www.uniprot.org/uniprot/A0A3L6FX19	Y
5296	IMDH2	Zea mays	UniProtKB	A0A3L6FYD1	https://www.uniprot.org/uniprot/A0A3L6FYD1	Y
5299	At3g04970_2	Anthurium amnicola	UniProtKB	A0A1D1Z0A9	https://www.uniprot.org/uniprot/A0A1D1Z0A9	Y
5304	OTU2	Arabidopsis thaliana	UniProtKB	Q9LPT6	https://www.uniprot.org/uniprot/Q9LPT6	Y
5318	HIS3	Nicotiana attenuata	UniProtKB	A0A314KNB2	https://www.uniprot.org/uniprot/A0A314KNB2	Y
5326	PRPF4	Salvia splendens	UniProtKB	A0A4D9A8C9	https://www.uniprot.org/uniprot/A0A4D9A8C9	Y
5328	At5g47090	Arabidopsis thaliana	UniProtKB	Q9LTB9	https://www.uniprot.org/uniprot/Q9LTB9	Y
5333	ELP1	Zea mays	UniProtKB	A0A3L6FWN4	https://www.uniprot.org/uniprot/A0A3L6FWN4	Y
5335	WDR5B_7	Nicotiana attenuata	UniProtKB	A0A1J6KBT3	https://www.uniprot.org/uniprot/A0A1J6KBT3	Y
5339	APUM24	Zea mays	UniProtKB	A0A317YEJ5	https://www.uniprot.org/uniprot/A0A317YEJ5	Y
5343	trmB	Salvia splendens	UniProtKB	A0A4D8ZTU7	https://www.uniprot.org/uniprot/A0A4D8ZTU7	Y
5347	MEE67	Arabidopsis thaliana	UniProtKB	A0A1I9LRE4	https://www.uniprot.org/uniprot/A0A1I9LRE4	Y
5348	SLD5	Arabidopsis thaliana	UniProtKB	Q6NQP5	https://www.uniprot.org/uniprot/Q6NQP5	Y
5354	TFB4	Arabidopsis thaliana	UniProtKB	Q8LF41	https://www.uniprot.org/uniprot/Q8LF41	Y
5355	PYRD_4	Vitis vinifera	UniProtKB	A0A438H9I0	https://www.uniprot.org/uniprot/A0A438H9I0	Y
5357	trappc4	Gossypium australe	UniProtKB	A0A5B6VRU1	https://www.uniprot.org/uniprot/A0A5B6VRU1	Y
5366	ARGJ	Helianthus annuus	UniProtKB	A0A251SNV7	https://www.uniprot.org/uniprot/A0A251SNV7	Y
5398	TOP6B	Arabidopsis thaliana	UniProtKB	Q9C5V6	https://www.uniprot.org/uniprot/Q9C5V6	Y
5404	DPB2	Arabidopsis thaliana	UniProtKB	Q500V9	https://www.uniprot.org/uniprot/Q500V9	Y
5406	UVH6_0	Anthurium amnicola	UniProtKB	A0A1D1YM86	https://www.uniprot.org/uniprot/A0A1D1YM86	Y
5421	At5g03900_1	Anthurium amnicola	UniProtKB	A0A1D1YWY0	https://www.uniprot.org/uniprot/A0A1D1YWY0	Y
5422	GEP4	Salvia splendens	UniProtKB	A0A4D8ZG86	https://www.uniprot.org/uniprot/A0A4D8ZG86	Y
5426	ELP2	Arabidopsis thaliana	UniProtKB	F4I1S8	https://www.uniprot.org/uniprot/F4I1S8	Y
5427	SIP6	Oryza sativa subsp. indica	UniProtKB	B8Q892	https://www.uniprot.org/uniprot/B8Q892	Y
5428	NDUFAF6	Salvia splendens	UniProtKB	A0A4D9BBV3	https://www.uniprot.org/uniprot/A0A4D9BBV3	Y
5430	rsp1	Anthurium amnicola	UniProtKB	A0A1D1XFV9	https://www.uniprot.org/uniprot/A0A1D1XFV9	Y
5434	NBP35	Amborella trichopoda	UniProtKB	U5CZM6	https://www.uniprot.org/uniprot/U5CZM6	Y
5449	cys12	Zea mays	UniProtKB	A0A317Y3L9	https://www.uniprot.org/uniprot/A0A317Y3L9	Y
5454	truB	Mucuna pruriens	UniProtKB	A0A371G7B3	https://www.uniprot.org/uniprot/A0A371G7B3	Y
5460	MND1	Dendrobium catenatum	UniProtKB	A0A2I0VTZ4	https://www.uniprot.org/uniprot/A0A2I0VTZ4	Y
5463	VPS20.2	Mucuna pruriens	UniProtKB	A0A371E4S9	https://www.uniprot.org/uniprot/A0A371E4S9	Y
5464	NRPB3_1	Nicotiana attenuata	UniProtKB	A0A314KIP2	https://www.uniprot.org/uniprot/A0A314KIP2	Y
5469	lipB	Gossypium australe	UniProtKB	A0A5B6X3V2	https://www.uniprot.org/uniprot/A0A5B6X3V2	Y
5477	MRPL46	Vitis vinifera	UniProtKB	A0A438JM66	https://www.uniprot.org/uniprot/A0A438JM66	Y
5489	Htatsf1	Zea mays	UniProtKB	A0A3L6EXT7	https://www.uniprot.org/uniprot/A0A3L6EXT7	Y
5502	GCP1	Oryza nivara	UniProtKB	A0A0E0JAE5	https://www.uniprot.org/uniprot/A0A0E0JAE5	Y
5513	MXI10.2	Arabidopsis thaliana	UniProtKB	F4KA67	https://www.uniprot.org/uniprot/F4KA67	Y
5528	CSTF77	Nicotiana attenuata	UniProtKB	A0A1J6JV52	https://www.uniprot.org/uniprot/A0A1J6JV52	Y
5531	At1g52590	Anthurium amnicola	UniProtKB	A0A1D1Z2Y9	https://www.uniprot.org/uniprot/A0A1D1Z2Y9	Y
5536	At3g60370	Arabidopsis thaliana	UniProtKB	Q0WRJ7	https://www.uniprot.org/uniprot/Q0WRJ7	Y
5551	PUR7	Nicotiana attenuata	UniProtKB	A0A1J6K297	https://www.uniprot.org/uniprot/A0A1J6K297	Y
5554	CWC27_3	Anthurium amnicola	UniProtKB	A0A1D1XHK0	https://www.uniprot.org/uniprot/A0A1D1XHK0	Y
5562	BUD20	Helianthus annuus	UniProtKB	A0A251SFK2	https://www.uniprot.org/uniprot/A0A251SFK2	Y
5578	BOLA2	Arabidopsis thaliana	UniProtKB	Q9FIC3	https://www.uniprot.org/uniprot/Q9FIC3	Y
5594	CDSP32	Zea mays	UniProtKB	A0A3L6E4D5	https://www.uniprot.org/uniprot/A0A3L6E4D5	Y
5596	vps15_4	Zea mays	UniProtKB	A0A3L6F710	https://www.uniprot.org/uniprot/A0A3L6F710	Y
5599	CRK45	Vitis vinifera	UniProtKB	A0A438K5R2	https://www.uniprot.org/uniprot/A0A438K5R2	Y
5614	ibtk	Mucuna pruriens	UniProtKB	A0A371H2G1	https://www.uniprot.org/uniprot/A0A371H2G1	Y
5620	mrm1	Zea mays	UniProtKB	A0A3L6DKU6	https://www.uniprot.org/uniprot/A0A3L6DKU6	Y
5634	DMAP1_0	Anthurium amnicola	UniProtKB	A0A1D1Y506	https://www.uniprot.org/uniprot/A0A1D1Y506	Y
5639	PPH_1	Zea mays	UniProtKB	A0A3L6EVH4	https://www.uniprot.org/uniprot/A0A3L6EVH4	Y
5642	DCTD_1	Vitis vinifera	UniProtKB	A0A438EXS0	https://www.uniprot.org/uniprot/A0A438EXS0	Y
5644	SNUPN	Anthurium amnicola	UniProtKB	A0A1D1Z8D0	https://www.uniprot.org/uniprot/A0A1D1Z8D0	Y
5656	hmces	Mucuna pruriens	UniProtKB	A0A371GR33	https://www.uniprot.org/uniprot/A0A371GR33	Y
5660	hus1	Arabidopsis thaliana	UniProtKB	Q709F6	https://www.uniprot.org/uniprot/Q709F6	Y
5664	At1g18480_4	Anthurium amnicola	UniProtKB	A0A1D1YLE5	https://www.uniprot.org/uniprot/A0A1D1YLE5	Y
5670	APC7_2	Anthurium amnicola	UniProtKB	A0A1D1XN68	https://www.uniprot.org/uniprot/A0A1D1XN68	Y
5699	ATG5	Mucuna pruriens	UniProtKB	A0A371FH14	https://www.uniprot.org/uniprot/A0A371FH14	Y
5702	QPT	Helianthus annuus	UniProtKB	A0A251SB21	https://www.uniprot.org/uniprot/A0A251SB21	Y
5703	-	-	-	-	-	Y
5716	TGH	Mucuna pruriens	UniProtKB	A0A371HSA5	https://www.uniprot.org/uniprot/A0A371HSA5	Y
5721	cysG	Zea mays	UniProtKB	A0A3L6FL13	https://www.uniprot.org/uniprot/A0A3L6FL13	Y
5733	IPK	Arabidopsis thaliana	UniProtKB	Q8H1F7	https://www.uniprot.org/uniprot/Q8H1F7	Y
5744	LTD	Arabidopsis thaliana	UniProtKB	Q8VY88	https://www.uniprot.org/uniprot/Q8VY88	Y
5770	TIG_1	Vitis vinifera	UniProtKB	A0A438H6B2	https://www.uniprot.org/uniprot/A0A438H6B2	Y
5772	PDF1A	Nicotiana attenuata	UniProtKB	A0A314LDV4	https://www.uniprot.org/uniprot/A0A314LDV4	Y
5791	CMS	Populus trichocarpa	UniProtKB	B3GEM2	https://www.uniprot.org/uniprot/B3GEM2	Y
5802	ORC2	Apostasia shenzhenica	UniProtKB	A0A2I0A0S6	https://www.uniprot.org/uniprot/A0A2I0A0S6	Y
5815	PDX2	Arabidopsis thaliana	UniProtKB	Q8LAD0	https://www.uniprot.org/uniprot/Q8LAD0	Y
5816	-	-	-	-	-	Y
5821	dph5	Gossypium australe	UniProtKB	A0A5B6VR89	https://www.uniprot.org/uniprot/A0A5B6VR89	Y
5822	At4g26980	Arabidopsis thaliana	UniProtKB	Q501F5	https://www.uniprot.org/uniprot/Q501F5	Y
5840	ycf39	Mucuna pruriens	UniProtKB	A0A371FFZ0	https://www.uniprot.org/uniprot/A0A371FFZ0	Y
5841	DWA2_3	Anthurium amnicola	UniProtKB	A0A1D1YTR0	https://www.uniprot.org/uniprot/A0A1D1YTR0	Y
5842	EMB9	Helianthus annuus	UniProtKB	A0A251SNA0	https://www.uniprot.org/uniprot/A0A251SNA0	Y
5843	RBR1_0	Anthurium amnicola	UniProtKB	A0A1D1Y9E8	https://www.uniprot.org/uniprot/A0A1D1Y9E8	Y
5849	Gid4_1	Zea mays	UniProtKB	A0A3L6DUP7	https://www.uniprot.org/uniprot/A0A3L6DUP7	Y
5853	HOP2	Oryza sativa	UniProtKB	A0A451ETE9	https://www.uniprot.org/uniprot/A0A451ETE9	Y
5857	RPL3_5	Zea mays	UniProtKB	A0A3L6ENU0	https://www.uniprot.org/uniprot/A0A3L6ENU0	Y
5858	PRP38_0	Vitis vinifera	UniProtKB	A0A438DUL5	https://www.uniprot.org/uniprot/A0A438DUL5	Y
5859	WDR61	Salvia splendens	UniProtKB	A0A4D9BZS5	https://www.uniprot.org/uniprot/A0A4D9BZS5	Y
5865	Nom1_1	Anthurium amnicola	UniProtKB	A0A1D1ZAX1	https://www.uniprot.org/uniprot/A0A1D1ZAX1	Y
5866	tatD	Salvia splendens	UniProtKB	A0A4D8YGI9	https://www.uniprot.org/uniprot/A0A4D8YGI9	Y
5870	UNC50	Helianthus annuus	UniProtKB	A0A251TJU8	https://www.uniprot.org/uniprot/A0A251TJU8	Y
5893	At3g15110	Arabidopsis thaliana	UniProtKB	Q2HIU0	https://www.uniprot.org/uniprot/Q2HIU0	Y
5894	RLF_2	Vitis vinifera	UniProtKB	A0A438HTA6	https://www.uniprot.org/uniprot/A0A438HTA6	Y
5899	COG2_0	Anthurium amnicola	UniProtKB	A0A1D1YH47	https://www.uniprot.org/uniprot/A0A1D1YH47	Y
5910	chlM	Gossypium australe	UniProtKB	A0A5B6UK39	https://www.uniprot.org/uniprot/A0A5B6UK39	Y
5913	GTF2H2	Arabidopsis thaliana	UniProtKB	Q9ZVN9	https://www.uniprot.org/uniprot/Q9ZVN9	Y
5918	atpI	Zea mays	UniProtKB	A0A3L6DT87	https://www.uniprot.org/uniprot/A0A3L6DT87	Y
5919	CNX3	Nicotiana attenuata	UniProtKB	A0A1J6IQT2	https://www.uniprot.org/uniprot/A0A1J6IQT2	Y
5921	smc4	Oryza sativa	UniProtKB	Q8L6H8	https://www.uniprot.org/uniprot/Q8L6H8	Y
5922	emb2738	Arabidopsis thaliana	UniProtKB	B5X565	https://www.uniprot.org/uniprot/B5X565	Y
5926	NLP2_0	Zea mays	UniProtKB	A0A3L6G6H1	https://www.uniprot.org/uniprot/A0A3L6G6H1	Y
5933	CSP41A	Dendrobium catenatum	UniProtKB	A0A2I0W3M7	https://www.uniprot.org/uniprot/A0A2I0W3M7	Y
5936	RRP4	Zea mays	UniProtKB	A0A3L6G2S9	https://www.uniprot.org/uniprot/A0A3L6G2S9	Y
5940	PIGC	Zea mays	UniProtKB	A0A3L6F3Y8	https://www.uniprot.org/uniprot/A0A3L6F3Y8	Y
5941	PFD5	Helianthus annuus	UniProtKB	A0A251V0I3	https://www.uniprot.org/uniprot/A0A251V0I3	Y
5942	RPL4	Arabidopsis thaliana	UniProtKB	Q2V4Q4	https://www.uniprot.org/uniprot/Q2V4Q4	Y
5943	VCL1_1	Nicotiana attenuata	UniProtKB	A0A1J6I727	https://www.uniprot.org/uniprot/A0A1J6I727	Y
5944	RAD1	Zea mays	UniProtKB	A0A3L6EET2	https://www.uniprot.org/uniprot/A0A3L6EET2	Y
5945	nsa2_0	Vitis vinifera	UniProtKB	A0A438HKD2	https://www.uniprot.org/uniprot/A0A438HKD2	Y
5949	TIM21	Nicotiana attenuata	UniProtKB	A0A1J6I3B9	https://www.uniprot.org/uniprot/A0A1J6I3B9	Y
5950	memo1	Zea mays	UniProtKB	A0A3L6DPI8	https://www.uniprot.org/uniprot/A0A3L6DPI8	Y
5958	PSB28	Arabidopsis thaliana	UniProtKB	Q8W0Y8	https://www.uniprot.org/uniprot/Q8W0Y8	Y
5960	FIO1	Helianthus annuus	UniProtKB	A0A251RQD1	https://www.uniprot.org/uniprot/A0A251RQD1	Y
5968	FdC1	Helianthus annuus	UniProtKB	A0A251VFP1	https://www.uniprot.org/uniprot/A0A251VFP1	Y
5974	yfjN	Anthurium amnicola	UniProtKB	A0A1D1Y9K5	https://www.uniprot.org/uniprot/A0A1D1Y9K5	Y
5977	RRP8	Salvia splendens	UniProtKB	A0A4D9BIM2	https://www.uniprot.org/uniprot/A0A4D9BIM2	Y
5980	LOC_Os12g04260	Oryza sativa subsp. japonica	UniProtKB	Q2QY08	https://www.uniprot.org/uniprot/Q2QY08	Y
5981	OGG1	Dendrobium catenatum	UniProtKB	A0A2I0XH51	https://www.uniprot.org/uniprot/A0A2I0XH51	Y
5990	Med21	Rehmannia glutinosa	UniProtKB	A0A0S2LKQ9	https://www.uniprot.org/uniprot/A0A0S2LKQ9	Y
6000	yqxC	Mucuna pruriens	UniProtKB	A0A371FIE8	https://www.uniprot.org/uniprot/A0A371FIE8	Y
6003	RPL28	Arabidopsis thaliana	UniProtKB	O22795	https://www.uniprot.org/uniprot/O22795	Y
6004	PANC	Nicotiana attenuata	UniProtKB	A0A314KKE7	https://www.uniprot.org/uniprot/A0A314KKE7	Y
6016	At3g08650_3	Anthurium amnicola	UniProtKB	A0A1D1XMJ5	https://www.uniprot.org/uniprot/A0A1D1XMJ5	Y
6026	ECHID	Helianthus annuus	UniProtKB	A0A251U254	https://www.uniprot.org/uniprot/A0A251U254	Y
6029	PPME1_1	Anthurium amnicola	UniProtKB	A0A1D1ZDA3	https://www.uniprot.org/uniprot/A0A1D1ZDA3	Y
6034	Prim1_1	Vitis vinifera	UniProtKB	A0A438J5C0	https://www.uniprot.org/uniprot/A0A438J5C0	Y
6036	NUG1	Salvia splendens	UniProtKB	A0A4D9ALK5	https://www.uniprot.org/uniprot/A0A4D9ALK5	Y
6038	VTE1	Olea europaea	UniProtKB	A0A1W5P4U6	https://www.uniprot.org/uniprot/A0A1W5P4U6	Y
6041	GCP4_2	Vitis vinifera	UniProtKB	A0A438F3P0	https://www.uniprot.org/uniprot/A0A438F3P0	Y
6048	TAF13	Zea mays	UniProtKB	A0A3L6FKX4	https://www.uniprot.org/uniprot/A0A3L6FKX4	Y
6050	PCID2_2	Anthurium amnicola	UniProtKB	A0A1D1YVF0	https://www.uniprot.org/uniprot/A0A1D1YVF0	Y
6051	EMB2768	Zea mays	UniProtKB	A0A3L6FW46	https://www.uniprot.org/uniprot/A0A3L6FW46	Y
6056	-	-	-	-	-	Y
6064	At5g51170	Arabidopsis thaliana	UniProtKB	Q9LU57	https://www.uniprot.org/uniprot/Q9LU57	Y
6068	CCDC12	Salvia splendens	UniProtKB	A0A4D9C0C6	https://www.uniprot.org/uniprot/A0A4D9C0C6	Y
6072	At5g19370	Anthurium amnicola	UniProtKB	A0A1D1ZKD2	https://www.uniprot.org/uniprot/A0A1D1ZKD2	Y
6098	COG6_2	Anthurium amnicola	UniProtKB	A0A1D1YBM2	https://www.uniprot.org/uniprot/A0A1D1YBM2	Y
6110	rpl23	Apostasia shenzhenica	UniProtKB	A0A2I0A1W7	https://www.uniprot.org/uniprot/A0A2I0A1W7	Y
6114	HSCB	Prunus persica var. persica	UniProtKB	A0A140B4A1	https://www.uniprot.org/uniprot/A0A140B4A1	Y
6119	wdhd1_0	Vitis vinifera	UniProtKB	A0A438C1I5	https://www.uniprot.org/uniprot/A0A438C1I5	Y
6128	spen_1	Anthurium amnicola	UniProtKB	A0A1D1XXJ5	https://www.uniprot.org/uniprot/A0A1D1XXJ5	Y
6130	PHYH	Salvia splendens	UniProtKB	A0A4D9AAL1	https://www.uniprot.org/uniprot/A0A4D9AAL1	Y
6139	OTC	Arabidopsis thaliana	UniProtKB	O50039	https://www.uniprot.org/uniprot/O50039	Y
6148	PPD2	Nicotiana attenuata	UniProtKB	A0A1J6JEG6	https://www.uniprot.org/uniprot/A0A1J6JEG6	Y
6150	yciO	Vitis vinifera	UniProtKB	A0A438ECB7	https://www.uniprot.org/uniprot/A0A438ECB7	Y
6164	PTRHD1	Mucuna pruriens	UniProtKB	A0A371ECG5	https://www.uniprot.org/uniprot/A0A371ECG5	Y
6175	-	-	-	-	-	Y
6176	OVA3	Arabidopsis thaliana	UniProtKB	Q9FEA2	https://www.uniprot.org/uniprot/Q9FEA2	Y
6198	Zmat2	Zea mays	UniProtKB	A0A3L6FH44	https://www.uniprot.org/uniprot/A0A3L6FH44	Y
6216	LPA3	Nicotiana attenuata	UniProtKB	A0A314KXG7	https://www.uniprot.org/uniprot/A0A314KXG7	Y
6221	truA1_1	Anthurium amnicola	UniProtKB	A0A1D1Y876	https://www.uniprot.org/uniprot/A0A1D1Y876	Y
6226	ENF2	Arabidopsis thaliana	UniProtKB	Q66GJ0	https://www.uniprot.org/uniprot/Q66GJ0	Y
6227	ENH1	Arabidopsis thaliana	UniProtKB	Q9FFJ2	https://www.uniprot.org/uniprot/Q9FFJ2	Y
6238	At2g40570	Arabidopsis thaliana	UniProtKB	F4II10	https://www.uniprot.org/uniprot/F4II10	Y
6258	HST	Arabidopsis thaliana	UniProtKB	Q1ACB3	https://www.uniprot.org/uniprot/Q1ACB3	Y
6265	TFCB_1	Zea mays	UniProtKB	A0A3L6FW12	https://www.uniprot.org/uniprot/A0A3L6FW12	Y
6270	FH	Nicotiana attenuata	UniProtKB	A0A1J6K2U1	https://www.uniprot.org/uniprot/A0A1J6K2U1	Y
6274	ycf37	Zea mays	UniProtKB	A0A3L6E533	https://www.uniprot.org/uniprot/A0A3L6E533	Y
6282	IMP3	Salvia splendens	UniProtKB	A0A4D9ABA8	https://www.uniprot.org/uniprot/A0A4D9ABA8	Y
6284	ALG8	Salvia splendens	UniProtKB	A0A4D9BC79	https://www.uniprot.org/uniprot/A0A4D9BC79	Y
6295	SQD1	Mucuna pruriens	UniProtKB	A0A371GPY7	https://www.uniprot.org/uniprot/A0A371GPY7	Y
6298	NAA20	Arabidopsis thaliana	UniProtKB	Q8LGI8	https://www.uniprot.org/uniprot/Q8LGI8	Y
6299	PAP11	Nicotiana attenuata	UniProtKB	A0A1J6IPL9	https://www.uniprot.org/uniprot/A0A1J6IPL9	Y
6303	RBL11_0	Vitis vinifera	UniProtKB	A0A438K8T6	https://www.uniprot.org/uniprot/A0A438K8T6	Y
6318	UGP3	Mucuna pruriens	UniProtKB	A0A371GGN1	https://www.uniprot.org/uniprot/A0A371GGN1	Y
6320	der	Mucuna pruriens	UniProtKB	A0A371E406	https://www.uniprot.org/uniprot/A0A371E406	Y
6363	mnmE	Zea mays	UniProtKB	A0A3L6F4A3	https://www.uniprot.org/uniprot/A0A3L6F4A3	Y
6366	-	-	-	-	-	Y
6373	PRDA1	Arabidopsis thaliana	UniProtKB	Q1H5E9	https://www.uniprot.org/uniprot/Q1H5E9	Y
6376	nubpl	Gossypium australe	UniProtKB	A0A5B6VPS6	https://www.uniprot.org/uniprot/A0A5B6VPS6	Y
6378	CYP37	Arabidopsis thaliana	UniProtKB	P82869	https://www.uniprot.org/uniprot/P82869	Y
6379	NIP1_3	Anthurium amnicola	UniProtKB	A0A1D1XYZ3	https://www.uniprot.org/uniprot/A0A1D1XYZ3	Y
6383	PTAC10	Arabidopsis thaliana	UniProtKB	F4JF21	https://www.uniprot.org/uniprot/F4JF21	Y
6384	pde194	Arabidopsis thaliana	UniProtKB	Q9C712	https://www.uniprot.org/uniprot/Q9C712	Y
6387	TGD1	Zea mays	UniProtKB	A0A3L6FVT2	https://www.uniprot.org/uniprot/A0A3L6FVT2	Y
6389	qtrt1_2	Anthurium amnicola	UniProtKB	A0A1D1Z536	https://www.uniprot.org/uniprot/A0A1D1Z536	Y
6393	MAT2B	Mucuna pruriens	UniProtKB	A0A371FB87	https://www.uniprot.org/uniprot/A0A371FB87	Y
6398	At4g16510	Arabidopsis thaliana	UniProtKB	A0A1P8B477	https://www.uniprot.org/uniprot/A0A1P8B477	Y
6401	PUMP3_0	Vitis vinifera	UniProtKB	A0A438HI65	https://www.uniprot.org/uniprot/A0A438HI65	Y
6404	BUD23	Salvia splendens	UniProtKB	A0A4D9BXE6	https://www.uniprot.org/uniprot/A0A4D9BXE6	Y
6405	med8_5	Anthurium amnicola	UniProtKB	A0A1D1XFU0	https://www.uniprot.org/uniprot/A0A1D1XFU0	Y
6406	ATG18B	Mucuna pruriens	UniProtKB	A0A371H5N0	https://www.uniprot.org/uniprot/A0A371H5N0	Y
6407	-	-	-	-	-	Y
6412	PAP6	Apostasia shenzhenica	UniProtKB	A0A2I0ADW2	https://www.uniprot.org/uniprot/A0A2I0ADW2	Y
6420	At1g06240	Arabidopsis thaliana	UniProtKB	Q8RXW6	https://www.uniprot.org/uniprot/Q8RXW6	Y
6430	ATG12A	Arabidopsis thaliana	UniProtKB	Q8S924	https://www.uniprot.org/uniprot/Q8S924	Y
6432	RPH1	Silene latifolia	UniProtKB	T1DBX3	https://www.uniprot.org/uniprot/T1DBX3	Y
6439	ABCI10	Hevea brasiliensis	UniProtKB	A0A097P9R3	https://www.uniprot.org/uniprot/A0A097P9R3	Y
6447	FAM210B	Anthurium amnicola	UniProtKB	A0A1D1YT46	https://www.uniprot.org/uniprot/A0A1D1YT46	Y
6448	-	-	-	-	-	Y
